"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","BL2-A","BL3-A","BL3-H","BL3-W","Event","VL1-A","VL1-H","VL1-W","VL3-A","VL3-H","VL3-W","Time"
3.03387e+06,2.87713e+06,39,3.69267e+06,3.40452e+06,59,6814,13060,9,2076,34827,7207,0,86,2486,3341,0,3287,2460,0,0
2.89716e+06,2.84505e+06,35,2.92552e+06,2.74216e+06,70,-6984,7475,0,-3225,33406,7102,0,87,-1326,2757,0,510,831,0,0
2.98871e+06,2.79234e+06,38,2.85458e+06,2.66655e+06,70,-1239,9292,0,-2057,2326,569,0,89,3608,4006,0,3370,2575,0,0
2.43298e+06,2.31927e+06,33,3.85319e+06,3.80242e+06,54,-13329,3422,0,-2419,593,223,0,90,-1627,2146,0,3826,2088,0,0
3.57534e+06,3.21292e+06,40,4.59682e+06,4.09374e+06,75,-7355,6886,0,-1735,-148,57,0,91,2997,4097,0,3910,1879,0,0
3.18579e+06,3.05746e+06,35,3.25774e+06,3.20951e+06,54,-12298,1935,0,-680,-89,46,0,92,977,2109,0,2775,2810,0,0
2.57202e+06,2.56702e+06,26,3.47963e+06,3.40567e+06,47,270,5801,0,-560,-73,45,0,97,3620,4866,0,2800,2123,0,0
3.68822e+06,3.11292e+06,39,4.65306e+06,4.17609e+06,61,-16037,7604,0,-6007,-150,20,0,101,3088,3299,0,4919,2883,0,0
2.47827e+06,2.3862e+06,33,3.73673e+06,3.48707e+06,58,-12695,4591,0,-4715,-140,66,0,102,571,2085,0,888,1680,0,0
2.72314e+06,2.70885e+06,36,2.58674e+06,2.39205e+06,68,-4232,8398,0,-2589,-85,37,0,103,2358,1892,0,2201,1950,0,0
2.73589e+06,2.76399e+06,26,3.4405e+06,3.47446e+06,48,6855,8274,0,-781,-162,2,0,106,8460,3408,0,2768,1467,0,0
3.14953e+06,2.92965e+06,39,4.30183e+06,3.86426e+06,70,-7578,9686,0,-2004,-699,0,0,108,-821,1201,0,798,3653,0,0
2.8285e+06,2.68898e+06,35,4.27467e+06,3.94841e+06,67,-11378,5545,0,-5122,-37603,0,0,109,9523,3299,0,867,1204,0,0
3.62872e+06,3.29508e+06,43,4.81364e+06,4.27036e+06,77,-8964,8102,0,-1371,-5103,0,0,112,2822,2736,0,1306,2335,0,0
3.02297e+06,2.90506e+06,38,2.8683e+06,2.72406e+06,74,-3293,7419,0,-1306,-275,5,0,113,2321,2281,0,1995,3031,0,0
3.4892e+06,3.005e+06,39,3.43914e+06,3.04803e+06,69,-5986,8967,0,-2530,14491,3440,0,115,1202,1859,0,1403,1807,0,0
3.18817e+06,2.75917e+06,38,5.67305e+06,5.28891e+06,73,-13484,7715,0,-4272,5735,1428,0,116,-3393,826,0,3031,2756,0,0
3.06475e+06,2.89083e+06,38,3.91946e+06,8.04096e+06,68,2623,9635,0,10131,-34,44,0,119,22454,20689,16,19291,14597,12,0
3.15765e+06,3.0613e+06,31,2.72797e+06,2.7665e+06,50,-1230,12337,3,1676,-184,18,0,123,2347,3324,0,3974,2251,0,0
2.5101e+06,2.43075e+06,30,3.95754e+06,3.76789e+06,56,-6379,9755,0,329,-246,26,0,125,-522,1566,0,979,2030,0,0
3.05026e+06,2.82434e+06,40,3.98507e+06,3.58978e+06,72,24136,18829,35,9022,-161,63,0,127,15851,8057,0,2192,2460,0,0
2.88451e+06,2.74934e+06,36,4.95566e+06,4.67963e+06,60,2018,5820,0,-4108,-17299,0,0,131,472,1655,0,-27,1047,0,0
2.9369e+06,2.47575e+06,33,4.98356e+06,3.96939e+06,64,-19803,9584,0,-3427,-663,0,0,134,1092,2666,0,1911,3416,0,0
2.50452e+06,2.43479e+06,35,2.79117e+06,2.64892e+06,66,-8884,9214,0,-6255,18143,3856,0,136,-3689,1801,0,984,868,0,0
3.28859e+06,3.00743e+06,35,5.18373e+06,8.3699e+06,67,-12437,5300,0,58,13104,3222,0,137,5853,5388,0,1326,2549,0,0
2.85487e+06,2.67359e+06,32,3.76128e+06,3.67247e+06,60,-14548,7977,0,-5982,8534,2136,0,139,-2636,1529,0,1470,1514,0,0
2.48165e+06,2.44011e+06,29,4.67304e+06,4.58254e+06,53,-15469,4953,0,-5633,7048,1799,0,140,-4289,1596,0,463,1447,0,0
2.51723e+06,2.40878e+06,35,3.38043e+06,3.24487e+06,65,-10353,3800,0,-5088,3405,771,0,142,-759,2104,0,-477,1019,0,0
3.19015e+06,2.95154e+06,36,2.79185e+06,2.67375e+06,55,-11607,5593,0,-5064,-315,0,0,145,-2054,1297,0,3209,1645,0,0
3.28358e+06,3.2316e+06,38,4.39287e+06,3.8016e+06,80,-9064,3652,0,-1814,-94,65,0,150,-663,1856,0,1042,2350,0,0
2.63289e+06,2.66613e+06,27,3.0908e+06,3.03329e+06,50,-385,5192,0,3081,-353,0,0,154,4806,3487,0,2614,2982,0,0
2.91339e+06,2.81432e+06,38,2.07724e+06,1.83828e+06,71,763,8652,0,-1205,-608,0,0,155,1074,2373,0,1821,1651,0,0
3.25042e+06,3.04416e+06,39,3.58891e+06,3.59894e+06,62,-13231,7855,0,-3255,-26861,0,0,156,5823,4912,0,3665,1421,0,0
2.78997e+06,2.66426e+06,37,2.7084e+06,2.73449e+06,58,-1720,8400,0,-3470,-8794,0,0,158,-3920,1163,0,578,1688,0,0
2.73826e+06,2.62507e+06,36,4.3813e+06,4.09869e+06,74,-4018,9119,0,-1636,35,84,0,159,-616,2070,0,-338,1517,0,0
2.68563e+06,2.6487e+06,30,3.17509e+06,3.08879e+06,55,3225,12974,7,-5374,2527,702,0,163,2418,2730,0,2332,1652,0,0
2.46234e+06,2.42256e+06,35,2.64576e+06,2.59597e+06,65,-8598,2551,0,-3560,1860,455,0,165,-977,567,0,1032,1802,0,0
3.35101e+06,3.09267e+06,40,4.56562e+06,4.3573e+06,61,-6500,5175,0,-6036,-95,40,0,167,1071,1961,0,2020,2051,0,0
4.16191e+06,3.63269e+06,43,5.74885e+06,4.90205e+06,77,-3779,4701,0,5228,-23093,0,0,173,2454,2881,0,1668,2899,0,0
2.25024e+06,2.15288e+06,29,2.80318e+06,2.69874e+06,55,-691,5927,0,-1835,367,130,0,175,983,1956,0,1173,1704,0,0
2.64976e+06,2.53276e+06,35,3.16336e+06,2.89532e+06,65,-2629,4829,0,4377,20318,4345,0,176,6870,2899,0,4682,1594,0,0
4.03949e+06,3.66021e+06,43,3.64134e+06,3.34128e+06,61,8695,8086,0,128,5208,1139,0,177,2165,2399,0,2357,1366,0,0
3.01071e+06,2.80962e+06,35,3.63617e+06,3.42548e+06,67,-7941,4839,0,-4172,-277,0,0,179,151,2908,0,570,1100,0,0
4.24449e+06,3.78508e+06,45,5.10275e+06,4.58077e+06,70,-7583,11697,3,-3095,-122,31,0,183,-1159,2798,0,1668,3207,0,0
2.79743e+06,2.66996e+06,37,4.52317e+06,4.23862e+06,74,-2033,5983,0,-128,-38353,0,0,184,11897,3316,0,2144,1022,0,0
2.88948e+06,2.79234e+06,39,2.23189e+06,2.11561e+06,68,-2329,7670,0,66,-15283,0,0,185,1713,3287,0,-437,638,0,0
3.37714e+06,3.17035e+06,40,5.08534e+06,4.67244e+06,65,1218,7725,0,691,395,129,0,188,652,1976,0,1869,850,0,0
3.29092e+06,3.20464e+06,39,4.59038e+06,4.12874e+06,73,11314,8470,0,5074,-208,30,0,190,4310,3508,0,5481,2378,0,0
2.27638e+06,2.20983e+06,33,1.86571e+06,1.89749e+06,49,-906,5980,0,2367,-32,99,0,191,4805,2731,0,-972,1193,0,0
3.46506e+06,2.96741e+06,38,5.17766e+06,4.62738e+06,66,-1285,11157,5,1900,-147,45,0,194,4966,3066,0,4968,4799,0,0
2.37729e+06,2.24625e+06,31,4.12277e+06,3.92986e+06,59,-6662,6692,0,1561,-69,49,0,197,1973,2445,0,217,1123,0,0
