"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","BL2-A","BL3-A","BL3-H","BL3-W","Event","VL1-A","VL1-H","VL1-W","VL3-A","VL3-H","VL3-W","Time"
2.31086e+06,2.23375e+06,31,2.30099e+06,2.34958e+06,50,5714,8458,0,-814,359,132,0,1728,34512,27958,20,3629,3351,0,3.10227
3.02271e+06,2.56454e+06,36,4.58432e+06,3.8542e+06,68,38474,51110,23,58618,1026,286,0,1780,27524,24308,19,94332,80560,26,3.10227
2.97161e+06,2.91251e+06,38,2.20723e+06,2.16821e+06,60,19766,18361,13,6172,-4437,0,0,1823,29201,20537,16,2346,1781,0,3.10227
4.0149e+06,3.16705e+06,58,5.38764e+06,8.28216e+06,69,92754,105439,39,97443,-26935,0,0,1840,191292,145267,45,137609,121342,26,3.10227
3.1862e+06,3.34642e+06,27,4.03769e+06,8.17735e+06,51,144650,147425,38,74314,-115,21,0,1951,862780,790012,54,70191,64136,23,4.13636
2.06597e+06,1.9781e+06,30,1.97301e+06,1.53496e+06,69,12618,7821,0,6960,31008,7848,0,1981,53349,43153,24,3997,4262,0,4.13636
2.56612e+06,2.353e+06,32,3.2394e+06,2.84278e+06,66,-556,5134,0,-1645,-32741,0,0,1996,27959,16585,16,671,1854,0,4.13636
3.01214e+06,2.73379e+06,35,3.94511e+06,7.96223e+06,61,71118,60480,37,38066,-229,39,0,2008,361752,320480,47,49847,46577,21,4.13636
1.93007e+06,1.85588e+06,26,3.09083e+06,3.09453e+06,43,20752,13970,14,13894,1533,555,0,2088,26145,19128,17,18407,16521,13,4.13636
2.62239e+06,2.61016e+06,36,2.08281e+06,1.8998e+06,67,8951,10796,5,3641,-2119,0,0,2123,26687,23146,17,3754,3592,0,4.13636
2.69189e+06,2.68678e+06,36,3.51054e+06,3.45919e+06,66,4996,8970,0,10678,-197,27,0,2140,34060,25424,20,8757,4831,0,4.13636
4.20102e+06,4.01129e+06,40,4.21629e+06,4.01547e+06,72,23972,23356,22,16795,-223,6,0,2159,89358,66122,31,19569,17248,13,4.13636
2.36518e+06,2.46131e+06,26,1.77738e+06,1.69825e+06,48,14192,11942,1,6441,-127,0,0,2218,34503,24767,19,2221,2771,0,4.13636
3.46293e+06,3.18172e+06,40,5.38229e+06,8.33343e+06,71,53670,46319,35,30662,-2742,0,0,2226,304556,264016,48,75747,67140,23,4.13636
2.21476e+06,2.12491e+06,28,4.10117e+06,3.74035e+06,50,76923,89782,23,42341,-19047,0,0,2263,804479,768348,49,63986,59373,22,4.13636
3.0277e+06,2.66632e+06,31,4.52725e+06,3.99478e+06,59,-2655,16928,11,3231,-121,36,0,2338,29709,16122,20,753,2216,0,4.13636
2.66094e+06,2.56571e+06,37,2.59882e+06,2.55947e+06,66,-5011,13643,9,9456,-98,35,0,2410,74315,66468,24,12395,9207,0,4.13636
3.04552e+06,2.80473e+06,42,3.39064e+06,2.90215e+06,58,39896,23480,40,17007,-87,53,0,2653,63881,37116,32,5820,4291,0,5.17045
2.66788e+06,2.17451e+06,35,4.79593e+06,8.15647e+06,60,178431,171778,45,91146,444,185,0,2828,1.23374e+06,1.12886e+06,57,92490,81059,25,5.17045
3.43543e+06,3.02959e+06,37,2.72023e+06,2.4631e+06,67,6093,10546,3,849,-197,11,0,2906,27587,21576,18,3101,3942,0,5.17045
2.84385e+06,2.71944e+06,37,5.12848e+06,8.38043e+06,74,106692,131665,26,97658,-245,24,0,2920,29290,25231,17,125277,115531,24,5.17045
2.11715e+06,2.12414e+06,31,2.75797e+06,2.83577e+06,56,-12040,1585,0,-5998,-232,5,0,2924,29619,27337,19,7034,6115,0,5.17045
3.74937e+06,3.29751e+06,48,5.21772e+06,8.1862e+06,76,25547,31978,28,26909,-300,10,0,2979,238992,211189,36,86479,76014,25,6.20455
3.17238e+06,2.81457e+06,36,4.11891e+06,3.86139e+06,59,-2631,4540,0,667,351,153,0,3051,38422,38970,19,6091,4212,0,6.20455
2.42694e+06,2.32715e+06,27,3.40709e+06,3.08234e+06,49,37133,30609,21,27332,-625,0,0,3061,50464,41846,21,45617,43472,21,6.20455
4.13939e+06,3.78775e+06,44,4.7608e+06,8.22571e+06,74,98083,98479,37,59368,1319,362,0,3103,117137,99013,26,51607,44884,22,6.20455
3.82118e+06,3.41725e+06,45,4.81649e+06,4.30664e+06,62,14296,28707,20,23184,-1051,0,0,3129,44099,32856,23,30937,27237,18,6.20455
3.67959e+06,3.51502e+06,40,3.99807e+06,3.57784e+06,71,55076,23503,48,37487,1836,420,0,3185,36324,12015,14,8209,3820,0,6.20455
4.35751e+06,3.98837e+06,45,4.96935e+06,8.24614e+06,68,74488,72617,36,34599,229,150,0,3204,106318,93144,26,40477,34649,21,6.20455
3.26465e+06,3.10476e+06,38,3.16632e+06,2.84849e+06,64,13555,10853,9,8212,-115,42,0,3226,30338,19584,18,3755,3419,0,6.20455
3.23988e+06,3.04939e+06,40,4.40264e+06,8.04022e+06,74,1174,16227,13,13320,-197,8,0,3248,51101,50085,21,37628,34071,20,6.20455
2.00345e+06,2.00754e+06,26,2.42437e+06,2.31924e+06,51,13847,20580,16,27144,-201,0,0,3262,41208,39524,20,37487,35167,19,6.20455
3.49591e+06,3.22813e+06,41,4.40234e+06,8.05993e+06,79,61340,66613,24,39665,8810,1893,0,3305,338542,306970,45,64483,55796,23,6.20455
3.39456e+06,3.08575e+06,35,2.55702e+06,2.22295e+06,66,-7900,11842,6,-3773,-212,23,0,3415,27891,24161,18,3428,3441,0,6.20455
2.49793e+06,1.93793e+06,35,1.9076e+06,1.36747e+06,58,15727,10123,3,4283,-88,32,0,3477,97385,77379,28,6476,6004,0,7.23864
2.66993e+06,2.68016e+06,33,2.45958e+06,2.25712e+06,58,14201,14650,10,9341,-27835,0,0,3622,59669,45354,26,5425,3028,0,7.23864
2.66692e+06,2.63651e+06,33,4.37323e+06,4.2756e+06,57,5602,12858,7,4174,-9484,0,0,3687,52315,49848,21,3535,3375,0,7.23864
3.4137e+06,3.19558e+06,38,3.77824e+06,3.33952e+06,67,27971,19606,29,9724,-2996,0,0,3731,36752,21608,25,2591,1512,0,7.23864
2.4278e+06,2.28637e+06,30,1.87829e+06,1.89644e+06,55,1586,6558,0,6519,-113,30,0,3762,58182,49878,23,8885,7140,0,7.23864
2.34631e+06,2.146e+06,29,3.74971e+06,3.17481e+06,60,15544,12472,12,6044,-25,60,0,3844,31123,23603,19,5220,5212,0,7.23864
2.7319e+06,2.5834e+06,36,4.29021e+06,8.09947e+06,72,21767,28837,17,21918,7962,1717,0,3886,147373,134594,26,56643,52032,22,7.23864
3.50631e+06,3.0245e+06,39,3.55355e+06,3.3712e+06,63,7444,15411,15,5307,-150,89,0,4094,32469,26518,19,4622,5240,0,8.27273
3.61589e+06,3.25754e+06,40,4.01048e+06,8.00913e+06,71,146975,147526,31,72735,-38,29,0,4237,485544,405282,55,57895,48910,23,8.27273
3.15577e+06,2.82532e+06,42,3.25731e+06,2.6856e+06,60,26686,21682,26,12450,5911,1478,0,4261,33208,15009,24,4179,1623,0,8.27273
2.48584e+06,2.44825e+06,34,2.45559e+06,2.3261e+06,61,-5987,4812,0,-532,-27616,0,0,4272,70230,61655,24,4594,3395,0,8.27273
3.70349e+06,3.35834e+06,42,4.70842e+06,4.01737e+06,68,18815,16401,30,4869,-444,8,0,4293,27986,17485,16,4248,2986,0,8.27273
3.21831e+06,3.06222e+06,33,3.87598e+06,8.05808e+06,61,70132,72009,29,32819,99,101,0,4360,94250,87754,25,28269,25822,17,8.27273
2.46123e+06,2.40169e+06,34,1.90293e+06,1.71718e+06,66,-12006,4391,0,-1888,-320,0,0,4362,81621,75189,24,3906,3665,0,8.27273
2.39339e+06,2.31038e+06,33,2.24391e+06,2.27118e+06,48,19029,12414,19,8184,13122,3281,0,4503,66606,56056,25,4473,4838,0,9.30682
3.63741e+06,3.30188e+06,41,4.40705e+06,8.25339e+06,74,29795,32018,20,22726,-114,42,0,4523,168923,146496,29,68188,59075,24,9.30682
2.37655e+06,2.36297e+06,34,1.81435e+06,1.84698e+06,57,19904,19657,20,4037,-224,64,0,4550,32557,27212,18,18691,16363,12,9.30682
3.65849e+06,3.47698e+06,39,5.35242e+06,8.27763e+06,72,68991,82491,24,49264,2823,627,0,4569,93925,85053,24,39392,34151,20,9.30682
2.4043e+06,2.32877e+06,32,2.55909e+06,2.2724e+06,60,13583,12392,15,5368,-1535,0,0,4590,28440,20173,19,1272,2492,0,9.30682
2.67807e+06,2.64583e+06,30,3.68323e+06,3.12511e+06,66,2712,7344,0,7147,-192,29,0,4598,61378,49762,25,6525,5452,0,9.30682
3.69652e+06,3.41903e+06,41,3.85538e+06,8.01888e+06,65,39262,41332,22,32669,-17,45,0,4601,169848,151296,27,66984,60109,23,9.30682
3.12602e+06,2.91118e+06,42,3.05548e+06,2.69246e+06,59,19239,17487,27,4168,2794,619,0,4618,35187,17399,22,5294,2735,0,9.30682
2.86853e+06,2.35462e+06,35,4.32305e+06,3.79088e+06,57,26696,23445,34,7345,5650,1557,0,4691,29805,16515,21,6665,4604,0,9.30682
4.21719e+06,3.76664e+06,43,4.30503e+06,4.10423e+06,66,10503,20408,13,-811,-221,66,0,4748,37961,28232,23,3578,4937,0,9.30682
3.13174e+06,2.84293e+06,35,4.52717e+06,3.8959e+06,69,17272,18626,18,9815,-57,55,0,4835,44806,31700,25,1751,2655,0,9.30682
2.32654e+06,2.37078e+06,28,2.6019e+06,2.55224e+06,46,13002,10344,3,4128,-713,0,0,4841,84260,72813,26,5038,5437,0,9.30682
3.85902e+06,3.52165e+06,42,4.29604e+06,8.12253e+06,70,19031,20310,22,18891,-264,9,0,4847,54659,45023,22,42594,36976,20,9.30682
2.0444e+06,1.99305e+06,29,1.96488e+06,1.71805e+06,66,6487,10961,6,432,23577,5924,0,4880,68345,58771,24,3069,2985,0,9.30682
2.74779e+06,2.52941e+06,34,4.45481e+06,8.10816e+06,66,87916,90090,29,49710,-144,38,0,4891,186339,164083,31,41972,36046,21,9.30682
